Chapitre;Code_NDP_11_chiffres;Designation;Regime_Import;Regime_Export;Droits_Taxes_Import;Droits_Taxes_Export;Preferences_Tarifaires;Reglementation;Groupe_Utilisation;Mode_Paiement;Source
01;01012100015;Chevaux de course,reproducteurs de race pure,de pur sang arabe;Libre ✅;Libre ✅;DOUANE ADV.IMP: 36 % | VALEUR AJOUTEE: 0 % | .S.V.DROIT SANIT.VETERINA: 0.100 dinars | .PREST.DOUA/IM: 3 %;.PREST.DOUA/EXP: 0 %;EGYPTE: 0 % | CAMEROUN: 50 % | MAURICE: 0 % | RUANDA: 0 % | PALESTINE: 0 % | GHANA: 50 % | TANZANIE: 0 % | KENYA: 50 % | KOWEIT: 0 %;PR CERTIFICAT SANITAIRE;;;douane.gov.tn/tarifweb2025
01;01012100026;Chevaux de course,reproducteurs de race pure,autres que de pur sang arabe;Libre ✅;Libre ✅;.S.V.DROIT SANIT.VETERINA: 0.100 dinars | VALEUR AJOUTEE: 0 % | DOUANE ADV.IMP: 36 % | .PREST.DOUA/IM: 3 %;.PREST.DOUA/EXP: 0 %;RUANDA: 0 % | MAURICE: 0 % | KENYA: 50 % | CAMEROUN: 50 % | PALESTINE: 0 % | TANZANIE: 0 % | KOWEIT: 0 % | EGYPTE: 0 % | GHANA: 50 %;PR CERTIFICAT SANITAIRE;;;douane.gov.tn/tarifweb2025
04;04011010106;Lait frais, non concentrés ni additionnés de sucre ou d'autres édulcorants, d'une teneur en poids de matières grasses n'excédant pas 1% en embllage immédiats d'un contenu net n'excédant pas 2 litres;Libre ✅;Libre ✅;.PREST.DOUA/IM: 3 % | DOUANE ADV.IMP: 36 % | VALEUR AJOUTEE: 0 %;.PREST.DOUA/EXP: 0 %;KOWEIT: 0 % | PALESTINE: 0 %;AUT.PREA.M.COMMERCE/EXPORT;BIENS DE CONSOMMATION;MP5;douane.gov.tn/tarifweb2025
04;04011010913;Crème de lait , non concentrée ni additionnée de sucre ou d'autres édulcorants, d'une teneur en poids de matières grasses n'excédant pas 1%, en emballage immédiats d'un contenu net n'excédant pas 2 l ¿;Libre ✅;Libre ✅;DOUANE ADV.IMP: 36 % | DERIVEES DU LAITTAXE DERIVEES DU LAIT: 2 dinars | VALEUR AJOUTEE: 19 % | .PREST.DOUA/IM: 3 %;.PREST.DOUA/EXP: 0 %;PALESTINE: 0 % | KOWEIT: 0 %;AUT.PREA.M.COMMERCE/EXPORT;BIENS DE CONSOMMATION;MP5;douane.gov.tn/tarifweb2025
30;30012010004;Extraits,a usages opotherapiques,de glandes ou d'autres organes ou de leurs secretions, d'orgine humaine;Libre ✅;Libre ✅;VALEUR AJOUTEE: 7 % | .PREST.DOUA/IM: 3 % | DOUANE ADV.IMP: 0 %;.PREST.DOUA/EXP: 0 %;GROUPE PAYS UNION EUROP: 0 % | TANZANIE: 0 % | RUANDA: 0 % | CAMEROUN: 50 % | PALESTINE: 0 % | JORDANIE: 0 % | EGYPTE: 0 % | TURQUIE: 0 % | GROUPE PAYS AELE: 0 % | ALGERIE: 0 % | ROYAUME UNI: 0 % | GHANA: 50 % | KENYA: 50 % | MAURICE: 0 % | MAROC: 0 % | KOWEIT: 0 %;DEROG. MONOPOLE ETAT;;;douane.gov.tn/tarifweb2025
30;30012090006;Extraits,a usages opotherapiques,de glandes ou d'autres organes ou de leurs secretions, d'origine autres qu'humaine;Libre ✅;Libre ✅;.PREST.DOUA/IM: 3 % | DOUANE ADV.IMP: 0 % | VALEUR AJOUTEE: 7 %;.PREST.DOUA/EXP: 0 %;CAMEROUN: 50 % | KENYA: 50 % | RUANDA: 0 % | MAURICE: 0 % | TANZANIE: 0 % | ALGERIE: 0 % | GROUPE PAYS UNION EUROP: 0 % | MAROC: 0 % | TURQUIE: 0 % | EGYPTE: 0 % | GROUPE PAYS AELE: 0 % | KOWEIT: 0 % | JORDANIE: 0 % | PALESTINE: 0 % | ROYAUME UNI: 0 % | GHANA: 50 %;DEROG. MONOPOLE ETAT;;;douane.gov.tn/tarifweb2025
84;84011000000;Reacteurs nucleaires;Prohibé ❌;Libre ✅;VALEUR AJOUTEE: 19 % | .PREST.DOUA/IM: 3 % | DOUANE ADV.IMP: 0 %;.PREST.DOUA/EXP: 0 %;PALESTINE: 0 % | TURQUIE: 0 % | TANZANIE: 0 % | RUANDA: 0 % | MAROC: 0 % | GROUPE PAYS UNION EUROP: 0 % | JORDANIE: 0 % | KOWEIT: 0 % | ROYAUME UNI: 0 % | CAMEROUN: 50 % | KENYA: 50 % | GHANA: 50 % | MAURICE: 0 % | EGYPTE: 0 % | GROUPE PAYS AELE: 0 % | ALGERIE: 0 %;CET. DE CONTROLE TECH. | CERT.CONT.TECHN.EXPORT;;;douane.gov.tn/tarifweb2025
84;84012000006;Machines et appareils pour la séparation isotopique,et leurs parties;Libre ✅;Libre ✅;VALEUR AJOUTEE: 19 % | .PREST.DOUA/IM: 3 % | DOUANE ADV.IMP: 0 %;.PREST.DOUA/EXP: 0 %;TURQUIE: 0 % | GROUPE PAYS AELE: 0 % | PALESTINE: 0 % | ALGERIE: 0 % | EGYPTE: 0 % | MAROC: 0 % | JORDANIE: 0 % | ROYAUME UNI: 0 % | CAMEROUN: 50 % | KENYA: 50 % | GHANA: 50 % | RUANDA: 0 % | MAURICE: 0 % | TANZANIE: 0 % | GROUPE PAYS UNION EUROP: 0 % | KOWEIT: 0 %;CET. DE CONTROLE TECH. | CERT.CONT.TECHN.EXPORT;;;douane.gov.tn/tarifweb2025
87;87011000007;Motoculteurs;Libre ✅;Libre ✅;DOUANE ADV.IMP: 0 % | VOIT.AUTOS: 0 % | .PREST.DOUA/IM: 3 %;.PREST.DOUA/EXP: 0 %;EGYPTE: 0 % | PALESTINE: 0 % | KOWEIT: 0 % | JORDANIE: 0 % | GROUPE PAYS AELE: 0 % | ALGERIE: 0 % | ROYAUME UNI: 0 % | TURQUIE: 0 % | GROUPE PAYS UNION EUROP: 0 % | MAROC: 0 %;;;;douane.gov.tn/tarifweb2025
87;87012110104;Ro-ro trucks ou têtes de remorques et tracteurs,  uniquement à  moteur à piston à allumage par compression (diesel ou semi- diesel),des types utilisés dans les enceintes portuaires, neufs;Libre ✅;Libre ✅;DOUANE ADV.IMP: 0 % | VOIT.AUTOS: 7 % | .PREST.DOUA/IM: 3 %;.PREST.DOUA/EXP: 0 %;PALESTINE: 0 % | EGYPTE: 0 % | JORDANIE: 0 % | TURQUIE: 0 % | GROUPE PAYS UNION EUROP: 0 % | MAROC: 0 % | KOWEIT: 0 % | GROUPE PAYS AELE: 0 % | ROYAUME UNI: 0 % | ALGERIE: 0 %;CONT.TEC.PAR CAHIER CHARGE/IMP;;;douane.gov.tn/tarifweb2025
